"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Viewing a scheduled meeting Functionality","","0","1","1","0","0"
"","Meet Functionality","","0","4","7","0","0"
"","Connect to meeting Functionality","","0","0","2","0","0"
"","Messages Functionality","","0","0","2","0","0"
"","Main page functionality","","0","0","4","0","0"
"","Authorization functionality","","0","0","2","0","0"
"","Planning meeting functionality","","0","1","1","0","0"
"","Setting functionality","","0","0","1","0","0"
